record_id,date,station_name,neighborhood,hour,pickups,returns,weather,temperature_c,day_of_week,is_holiday
1,2024-01-01,Porte de lHopital,Centre-Ville,17,12,12,Sunny,1.4,Monday,Yes
2,2024-01-01,Meinau,Meinau,19,5,4,Sunny,1.4,Monday,Yes
3,2024-01-01,Lingolsheim,Lingolsheim,18,11,14,Sunny,1.4,Monday,Yes
4,2024-01-01,Place Broglie,Centre-Ville,14,4,2,Sunny,1.4,Monday,Yes
5,2024-01-02,Place Broglie,Centre-Ville,17,27,37,Sunny,2.6,Tuesday,No
6,2024-01-02,Parc de lOrangerie,Orangerie,12,13,13,Sunny,2.6,Tuesday,No
7,2024-01-02,Illkirch Graffenstaden,Illkirch,14,9,6,Sunny,2.6,Tuesday,No
8,2024-01-03,Rue du Faubourg National,Gare,18,6,7,Sunny,3.5,Wednesday,No
9,2024-01-03,Hopital Civil,Centre-Ville,7,3,2,Sunny,3.5,Wednesday,No
10,2024-01-03,Cathedrale,Centre-Ville,19,5,5,Sunny,3.5,Wednesday,No
11,2024-01-04,Lingolsheim,Lingolsheim,13,15,13,Cloudy,3.1,Thursday,No
12,2024-01-04,Parlement Europeen,Wacken,9,19,21,Cloudy,3.1,Thursday,No
13,2024-01-04,Parc de lOrangerie,Orangerie,8,23,15,Cloudy,3.1,Thursday,No
14,2024-01-04,Petite France,Centre-Ville,17,21,27,Cloudy,3.1,Thursday,No
15,2024-01-04,Cathedrale,Centre-Ville,13,14,19,Cloudy,3.1,Thursday,No
16,2024-01-05,Porte de lHopital,Centre-Ville,8,30,31,Partly Cloudy,1.1,Friday,No
17,2024-01-05,Petite France,Centre-Ville,12,9,6,Partly Cloudy,1.1,Friday,No
18,2024-01-05,Cronenbourg,Cronenbourg,18,10,7,Partly Cloudy,1.1,Friday,No
19,2024-01-06,Petite France,Centre-Ville,13,10,8,Sunny,3.8,Saturday,No
20,2024-01-06,Schiltigheim Centre,Schiltigheim,17,12,15,Sunny,3.8,Saturday,No
21,2024-01-06,Place Kleber,Centre-Ville,14,5,5,Sunny,3.8,Saturday,No
22,2024-01-07,Quai des Bateliers,Centre-Ville,19,0,0,Snowy,2.4,Sunday,No
23,2024-01-07,Place de la Republique,Republique,13,0,0,Snowy,2.4,Sunday,No
